id,groundedness,helpfulness,tone,safety,overall,hallucinated,model
2797231,1,2,4,5,1,no,gpt-llm
1861922,1,3,4,5,1,yes,gpt-llm
2476070,1,1,3,5,1,no,gpt-llm
2868559,3,4,4,5,3,no,gpt-llm
1708752,1,1,4,5,1,yes,gpt-llm
1974906,2,2,4,5,2,no,gpt-llm
2728203,1,1,4,5,1,no,gpt-llm
2358746,2,1,5,5,1,no,gpt-llm
567671,1,1,4,5,1,no,gpt-llm
282312,4,4,5,5,4,no,gpt-llm
2468992,1,2,5,5,1,no,gpt-llm
1803304,2,2,4,5,2,no,gpt-llm
1587039,1,1,4,5,1,yes,gpt-llm
1537694,2,2,4,5,2,no,gpt-llm
2292397,1,2,4,5,1,no,gpt-llm
1363862,2,2,5,5,2,no,gpt-llm
2527931,2,2,4,5,2,no,gpt-llm
188304,1,2,4,5,1,no,gpt-llm
2868486,1,1,4,5,1,no,gpt-llm
2247445,3,4,5,5,3,no,heuristic-fallback
1031584,2,2,5,5,2,no,gpt-llm
1800951,2,2,5,5,2,no,gpt-llm
1087447,1,2,4,5,1,yes,gpt-llm
292784,2,3,5,5,2,no,gpt-llm
2803432,1,1,2,5,1,no,gpt-llm
1094331,2,3,4,5,2,yes,gpt-llm
2229502,1,1,4,5,1,no,gpt-llm
681584,3,3,5,5,3,no,gpt-llm
2185275,4,3,5,5,3,no,gpt-llm
239810,2,2,5,5,2,no,gpt-llm
342843,1,1,4,5,1,no,gpt-llm
984518,2,2,5,5,2,no,gpt-llm
2341849,2,2,4,5,2,no,gpt-llm
2613353,1,1,5,5,1,no,gpt-llm
1829967,2,2,4,5,2,no,gpt-llm
706928,2,2,5,5,2,no,gpt-llm
2575845,3,3,5,5,3,no,gpt-llm
1418051,1,1,4,5,1,yes,gpt-llm
948547,1,2,4,5,1,no,gpt-llm
2403568,4,5,5,5,4,no,gpt-llm
2766614,4,4,4,5,4,no,gpt-llm
2072056,3,3,5,5,3,no,gpt-llm
244981,1,1,4,5,1,no,gpt-llm
1213499,2,2,5,5,2,no,gpt-llm
536644,1,1,4,5,1,no,gpt-llm
92536,1,1,3,5,1,no,gpt-llm
2090573,2,2,4,5,2,no,gpt-llm
2703215,1,1,4,5,1,no,gpt-llm
2707376,1,1,4,5,1,no,gpt-llm
2505744,2,2,4,5,2,no,gpt-llm
571118,3,3,5,5,3,no,gpt-llm
486268,1,1,4,5,1,no,gpt-llm
1962955,1,1,2,5,1,no,gpt-llm
2473499,3,4,5,5,3,no,gpt-llm
1919846,1,1,3,5,1,no,gpt-llm
457633,1,1,2,5,1,no,gpt-llm
417439,2,3,5,5,2,no,gpt-llm
327533,2,2,5,5,2,no,gpt-llm
2590442,2,1,4,5,1,no,gpt-llm
1649067,2,1,4,5,1,no,gpt-llm
2037673,2,2,5,5,2,no,gpt-llm
410513,2,3,4,5,2,yes,gpt-llm
2920233,1,3,4,5,1,no,gpt-llm
613175,4,4,5,5,4,no,gpt-llm
1521851,1,1,3,5,1,no,gpt-llm
2545711,1,1,4,5,1,no,gpt-llm
1868546,1,1,3,5,1,yes,gpt-llm
2413038,2,3,4,5,2,yes,gpt-llm
2523431,2,1,5,5,1,no,gpt-llm
1846045,5,5,5,5,5,no,gpt-llm
948956,1,2,3,5,1,no,gpt-llm
2057065,3,3,4,5,3,no,gpt-llm
894888,2,3,5,5,2,no,gpt-llm
194326,4,4,5,5,4,no,gpt-llm
2793128,1,3,3,5,1,no,gpt-llm
2532785,2,3,5,5,2,no,gpt-llm
743003,4,4,5,5,4,no,gpt-llm
1858198,2,2,5,5,2,no,gpt-llm
2371132,1,1,4,5,1,no,gpt-llm
2630184,2,3,5,5,2,no,gpt-llm
2605280,1,1,3,5,1,no,gpt-llm
388101,2,2,3,5,2,no,gpt-llm
1834073,2,2,5,5,2,no,gpt-llm
2743086,2,2,4,5,2,no,gpt-llm
2945814,1,1,4,5,1,yes,gpt-llm
1889045,2,3,5,5,2,no,gpt-llm
609631,1,1,3,5,1,no,gpt-llm
536789,1,1,3,5,1,no,gpt-llm
1690082,3,4,5,5,3,no,gpt-llm
529439,1,5,5,5,1,no,heuristic-fallback
215808,1,1,2,5,1,yes,gpt-llm
499467,4,4,5,5,4,no,gpt-llm
699627,2,3,5,5,2,no,gpt-llm
146585,1,2,4,5,1,yes,gpt-llm
852590,1,2,4,5,1,no,gpt-llm
1576955,1,1,5,5,1,yes,gpt-llm
1421340,2,2,4,5,2,no,gpt-llm
874518,1,2,3,5,1,no,gpt-llm
1655467,2,3,5,5,2,no,gpt-llm
2915940,2,3,5,5,2,no,gpt-llm
2565925,3,3,5,5,3,no,heuristic-fallback
2683859,3,2,5,5,2,no,gpt-llm
1837267,4,3,5,5,3,no,gpt-llm
446491,1,1,3,5,1,no,gpt-llm
1812047,4,4,5,5,4,no,gpt-llm
2676624,2,2,4,5,2,no,gpt-llm
2754477,4,4,5,5,4,no,gpt-llm
8553,2,1,5,5,1,no,gpt-llm
556226,3,4,5,5,3,no,gpt-llm
595327,4,4,5,5,4,yes,gpt-llm
756619,2,2,5,5,2,no,gpt-llm
1205835,1,1,4,5,1,no,gpt-llm
2312550,1,1,3,5,1,yes,gpt-llm
