id,groundedness,helpfulness,tone,safety,overall,hallucinated,model
613197,3,3,5,5,3,no,heuristic-fallback
412472,4,3,5,5,3,no,heuristic-fallback
1763686,5,3,5,5,3,no,heuristic-fallback
675050,1,3,5,5,1,no,heuristic-fallback
889103,2,5,5,5,2,no,heuristic-fallback
1065125,3,3,5,5,3,no,heuristic-fallback
1970950,2,5,5,5,2,no,heuristic-fallback
2773274,2,3,5,5,2,no,heuristic-fallback
1907930,5,5,5,5,5,no,heuristic-fallback
2919996,1,3,5,5,1,no,heuristic-fallback
1040180,3,3,5,5,3,no,heuristic-fallback
1645459,5,5,5,5,5,no,heuristic-fallback
808749,3,2,5,5,2,no,heuristic-fallback
977094,4,4,5,5,4,no,heuristic-fallback
2626933,2,3,5,5,2,no,heuristic-fallback
593340,3,3,5,5,3,no,heuristic-fallback
2797231,2,4,5,5,2,no,heuristic-fallback
1861922,2,3,5,5,2,no,heuristic-fallback
2476070,4,5,5,5,4,no,heuristic-fallback
2868559,3,5,5,5,3,no,heuristic-fallback
1708752,3,3,5,5,3,no,heuristic-fallback
1974906,4,3,5,5,3,no,heuristic-fallback
2728203,2,3,5,5,2,no,heuristic-fallback
2358746,4,4,5,5,4,no,heuristic-fallback
567671,2,3,5,5,2,no,heuristic-fallback
282312,2,3,5,5,2,no,heuristic-fallback
2468992,1,3,5,5,1,no,heuristic-fallback
1803304,5,3,5,5,3,no,heuristic-fallback
1587039,2,4,5,5,2,no,heuristic-fallback
1537694,2,3,5,5,2,no,heuristic-fallback
2292397,2,3,5,5,2,no,heuristic-fallback
1363862,1,3,5,5,1,no,heuristic-fallback
2527931,2,3,5,5,2,no,heuristic-fallback
188304,2,3,5,5,2,no,heuristic-fallback
2868486,1,5,5,5,1,no,heuristic-fallback
2247445,3,4,5,5,3,no,heuristic-fallback
1031584,2,4,5,5,2,no,heuristic-fallback
1800951,2,5,5,5,2,no,heuristic-fallback
1087447,3,3,5,5,3,no,heuristic-fallback
292784,2,3,5,5,2,no,heuristic-fallback
2803432,3,3,5,5,3,no,heuristic-fallback
1094331,2,3,5,5,2,no,heuristic-fallback
2229502,2,3,5,5,2,no,heuristic-fallback
681584,1,3,5,5,1,no,heuristic-fallback
2185275,2,3,5,5,2,no,heuristic-fallback
239810,3,5,5,5,3,no,heuristic-fallback
342843,2,4,5,5,2,no,heuristic-fallback
984518,3,4,5,5,3,no,heuristic-fallback
2341849,3,3,5,5,3,no,heuristic-fallback
2613353,2,4,5,5,2,no,heuristic-fallback
1829967,2,3,5,5,2,no,heuristic-fallback
706928,3,4,5,5,3,no,heuristic-fallback
2575845,3,3,5,5,3,no,heuristic-fallback
1418051,4,3,5,5,3,no,heuristic-fallback
948547,2,5,5,5,2,no,heuristic-fallback
2403568,4,5,5,5,4,no,heuristic-fallback
2766614,3,4,5,5,3,no,heuristic-fallback
2072056,3,5,5,5,3,no,heuristic-fallback
244981,4,4,5,5,4,no,heuristic-fallback
1213499,4,4,5,5,4,no,heuristic-fallback
536644,2,3,5,5,2,no,heuristic-fallback
92536,2,4,5,5,2,no,heuristic-fallback
2090573,2,4,5,5,2,no,heuristic-fallback
2703215,2,3,5,5,2,no,heuristic-fallback
2707376,3,3,5,5,3,no,heuristic-fallback
2505744,1,3,5,5,1,no,heuristic-fallback
571118,2,5,5,5,2,no,heuristic-fallback
486268,3,3,5,5,3,no,heuristic-fallback
1962955,3,4,5,5,3,no,heuristic-fallback
2473499,2,4,5,5,2,no,heuristic-fallback
1919846,3,3,5,5,3,no,heuristic-fallback
457633,3,2,5,5,2,no,heuristic-fallback
417439,3,5,5,5,3,no,heuristic-fallback
327533,4,5,5,5,4,no,heuristic-fallback
2590442,2,4,5,5,2,no,heuristic-fallback
1649067,2,3,5,5,2,no,heuristic-fallback
2037673,2,5,5,5,2,no,heuristic-fallback
410513,3,3,5,5,3,no,heuristic-fallback
2920233,2,3,5,5,2,no,heuristic-fallback
613175,2,5,5,5,2,no,heuristic-fallback
1521851,3,2,5,5,2,no,heuristic-fallback
2545711,1,3,5,5,1,no,heuristic-fallback
1868546,1,3,5,5,1,no,heuristic-fallback
2413038,2,3,5,5,2,no,heuristic-fallback
2523431,4,4,5,2,2,no,heuristic-fallback
1846045,3,3,5,5,3,no,heuristic-fallback
948956,2,3,5,5,2,no,heuristic-fallback
2057065,3,3,5,5,3,no,heuristic-fallback
894888,3,3,5,5,3,no,heuristic-fallback
194326,3,3,5,5,3,no,heuristic-fallback
2793128,4,5,5,5,4,no,heuristic-fallback
2532785,2,3,5,5,2,no,heuristic-fallback
743003,2,3,5,5,2,no,heuristic-fallback
1858198,2,5,5,5,2,no,heuristic-fallback
2371132,4,3,5,5,3,no,heuristic-fallback
2630184,2,5,5,5,2,no,heuristic-fallback
2605280,3,3,5,5,3,no,heuristic-fallback
388101,3,3,5,5,3,no,heuristic-fallback
1834073,4,5,5,5,4,no,heuristic-fallback
2743086,3,3,5,5,3,no,heuristic-fallback
2945814,5,3,5,5,3,no,heuristic-fallback
1889045,4,3,5,5,3,no,heuristic-fallback
609631,2,3,5,5,2,no,heuristic-fallback
536789,2,3,5,5,2,no,heuristic-fallback
1690082,2,5,5,5,2,no,heuristic-fallback
529439,1,5,5,5,1,no,heuristic-fallback
215808,3,3,5,5,3,no,heuristic-fallback
499467,3,4,5,5,3,no,heuristic-fallback
699627,4,5,5,5,4,no,heuristic-fallback
146585,3,3,5,5,3,no,heuristic-fallback
852590,3,3,5,5,3,no,heuristic-fallback
1576955,3,3,5,5,3,no,heuristic-fallback
1421340,2,3,5,5,2,no,heuristic-fallback
874518,2,3,5,5,2,no,heuristic-fallback
1655467,4,4,5,5,4,no,heuristic-fallback
2915940,2,3,5,5,2,no,heuristic-fallback
2565925,3,3,5,5,3,no,heuristic-fallback
2683859,3,5,5,5,3,no,heuristic-fallback
1837267,1,3,5,5,1,no,heuristic-fallback
446491,3,4,5,5,3,no,heuristic-fallback
1812047,2,3,5,5,2,no,heuristic-fallback
2676624,2,3,5,5,2,no,heuristic-fallback
2754477,2,3,5,5,2,no,heuristic-fallback
8553,2,3,5,5,2,no,heuristic-fallback
556226,2,5,5,5,2,no,heuristic-fallback
595327,1,5,5,5,1,no,heuristic-fallback
756619,2,5,5,5,2,no,heuristic-fallback
1205835,3,5,5,5,3,no,heuristic-fallback
2312550,4,3,5,5,3,no,heuristic-fallback
